Customer Id,Discount Code,Company Name,Addressline,Forename,Surname,City,Postcode,Phone,Additional Information,Credit Limit
C003537,N,20th Century Finance Corpn. Ltd. [merged],2800 N Central Ave,Anthony,Cronin,Woburn,MK17 4MH,410-555-3311,anthonycronin@thcenturyfin.com,580000
C017516,H,20th Century Fox Corpn. (india) Pvt. Ltd.,347 N Last Chance Gulch St,Terence,Bowen,Stoney Stretton,sy57sr,623-555-2515,,99000000
C041408,N,20th Century Gems Ltd.,7409 BRETSHIRE DR,Paul,Hartshorn,Phillack,TR27 3XV,440-181-9714,phartshorn@20thcenturyg.com,29000
C041717,H,20th Century Holdings Pvt. Ltd.,15102 MIRA VISTA DR,Stuart,Nowell,Bolton,BL1 0IB,251-555-1186,s_nowell0@thc.com,101000
C032421,N,20th Century Housing Finance Pvt. Ltd.,"Winster House, Herons Way",Jeffrey,Higham,West Dean,SP5 9PI,020-978-7495,,14000
C049085,M,21st Century Automotive India Ltd.,425 S Zarzamora St,David,Hough,Standeford,WV107XV,410-555-3297,d_hough@stsntr.com,7900
C045652,M,21st Century Constructions Ltd.,7150 SMILING WOOD LN,Fraser,Colquhoun,Rodbourne,sn16 2dd,023-202-7907,fcolquhoun@stsntrknstrk.com,1300
C044350,N,21st Century Constructions Pvt. Ltd.,5408 Penn Ave S,Mary,Hopkinson,Pylle,BA4 3HY,024-812-2942,mhopkinson@21stcenturyc.com,280000
C026012,N,21st Century Insurance Group,1201 31ST AVE,Michael,Paget,Garshall Green,st18 6bz,020-866-7114,mic_paget9@21s.com,700000
C002859,N,21st Century Pest Control Services Ltd.,13th S Market St,Margaret,King,Throphill,ne613hd,019-515-5645,,8700
C024335,N,"24 Hour Fitness Worldwide, Inc.",1300 N Market St,Andrew,Kearne,Whiteshill,GL6 1CG,440-115-9773,a_kearne1@hourfitnessw.com,33000
C011856,N,24/7 Customer.com Pvt. Ltd.,1085 Lynch St,Raymond,Hallam,Lunt,l29 5ud,512-555-2727,raymondhallam2@custom.com,750000
C048154,L,"24/7 Real Media, Inc.",7916 W Dodge Rd,Thomas,Johnson,Calverton,MK190SH,023-085-7359,thomas_johnson@rea.com,1200000
C015120,L,2nd Source,1300 N Market St Suite 300,Sadia,Naz,Coedpoeth,ll11 5wi,406-555-3591,,96000000
C021986,N,"2ndWave, Inc.",18 LAKEVIEW PL,Andrew,Bourne,Balloch,dd8 0av,612-555-3005,,99000000
C026330,N,2Touch Acxiom,2814 CLEBURNE ST,Arthur,Dennis,Nether Kinmundy,ab42 4uo,440-208-6958,arthur_dennis@2touchacxiom.com,93000000
C042165,N,2Way Corporation,46 CADYS FALLS RD,Reinald,De Vries,Epping,CM16 7PV,302-555-2593,,3400000
C047727,N,3 Global Services Pvt. Ltd.,28 Banner Street,Anthony,Smart,London,se148hl,713-555-1222,,3200
C043453,H,3 K Technologies Ltd.,"Dascal Close, Cypress Drive",Andrew,Farley,Swanage,BH19-0JF,019-051-4481,and_farley6@ktknlj.com,7700000
C005826,N,3 Suisses Intl.,Jasmine House,Cynthia,Darby,Wrotham Park,EN51XL,302-555-2507,,730000
C017602,N,333 TRS/Det 1,S READING RD,Ian,Grant,Walton On The Hill,KT20 8JO,406-555-3319,ian_grant@trstt.com,140000
C017938,N,337 Cars,9616 N Lamar Blvd,Steven,Bateman,Little Stanney,CH2 2KI,441-473-4653,,880000
C046501,N,38955 Hills Tech Drive,5013 34th Ave S,Stephen,Cope,Knocksharry,IM5 5QS,406-555-3439,stephencope@38955hillste.com,860000
C022297,N,3Com Corporation,17174 PROVIDENCE RD,Malcolm,Door,Cropwell Butler,NG12-7RY,025-924-3148,mal_door@3comco.com,67000
C045295,N,3COM Corporation,1625 SOUTHMORE BLVD,Lorraine,Mcgann,Sodylt Bank,SY12 5IT,018-081-6432,,200000
C008095,M,3d P L M Software Solutions Ltd.,2950 Prospect Ave,Jenine,Kemp,Shelfield,WS4 5HY,406-555-3751,,200000
C001103,M,3d Technopack Ltd.,131 PUTNEY RD,Mark,Blacker,Lyndon,le15 0jq,014-804-1088,m_blacker@3dtech.com,890000
C006906,H,3H Technology Federal Corp,197 Greenwich Ave,Alan,Smailes,Stoney Stretton,sy5 2jc,406-555-3615,a_smailes@3htechnology.com,38000000
C018691,M,3i Infotech Consultancy Services Ltd.,315 HADLEY ST,Mitchell,Crane,Worfield,WV15 1CV,313-555-3367,mit_crane3@iin.com,1700000
C027501,N,3i Infotech Consumer Services Ltd.,5503 Balcones Dr,Keith,Thompson,Balmacneil,PH9-7ZX,000-000-1693,k.thompson@iin.com,270000
C002219,L,3i Infotech Insurance & Re-insurance Brokers Ltd.,Woodside,David,Wade,Spittal,TD15 6AD,440-208-2142,dwade@iinfot.com,5600
C017978,H,3i Infotech Ltd.,Cardiff Plant,John,Harrold,Alport,de45 5bt,612-555-3035,j.harrold@iin.com,9600000
C023315,H,3i plc,13370 MOBILE ST,Michael,Macdonald Taylor,Chillesford,IP124ZE,612-555-2943,,330000
C020000,M,3iT,2115 Woodward Ave,Wendy,Yarwood,West Boldon,NE36 4QI,406-555-3449,,300
C007480,M,3M Company,3200 E Camelback Rd,Peter,Southall,Appleby,DN152FG,952-555-3397,,1200
C000459,M,3M France,607 W Stassney Ln,Andrew,Butcher,Hutton Bonville,DL7 2TC,302-555-2601,a_butcher@mfranc.com,170000
C048036,N,3m India Ltd.,One Exchange Sq,Stephen,Swaine,Busby,ph15me,443-555-7592,ste_swaine@mntlt.com,72000000
C035704,N,3M UK plc,COLD RIVER RD,Mark,Watkiss,Friday Street,RH5 7FZ,016-235-1036,,21000000
C015537,N,3P/EGC,7826 MONTILLA CT,Jj,Jobson,Alnham,ne656gy,406-555-3321,jjjobson@pkk.com,3300
C026019,N,3R Holdings,925 BEDFORD ST,Sandra,Luff,Wennington,RM13 8HF,025-934-3148,s.luff@3rhold.com,10100000
C021620,N,3rd Millennium Inc.,4374 HARVEST LN,Brian,Williams,Graig,LL178EU,713-555-3915,bri_williams6@rtmlnmnk.com,6300000
C051369,N,3S invest Beteiligungen GmbH,4105 LAVENDER ST,Janet,Cutts,Welton Le Wold,LN119WW,015-123-9300,jcutts@sinvestbetei.com,3800000
C029629,H,3SOFT GMBH,12 Finsbury Square,Caroline,Roslington,Downside,kt114hw,015-666-3228,,1600
C031715,H,"4 Star Technologies, Inc.","Unit 26, Stoneleigh Deer Park",Andrew,Elder,Little Salkeld,CA10 0IU,504-555-3799,,24000
C032076,N,42 Degrees,34A Saint Aubyns,Francis,Gallagher,Exton,SO32 2IH,512-555-2623,,34000000
C034666,M,4C Technologies,15103 E Warren Ave,Lloyd,Davis,Trumaisge Arraidh,hs60mo,952-555-3395,llodavis0@4ctech.com,1070000
C040635,N,"4GL Solutions, Inc.",220 N 7th Ave,Charanjit,Bhogal,Rowington,CV35 6NR,713-555-2541,,4900
C005561,N,4th Floor Engineering,3405 OAKDALE ST,Elizabeth,Jackson,Alfardisworthy,ex22 5qu,022-032-2427,eli_jackson@thfloo.com,10000
C025212,L,5 Square System,6228 Michigan Ave,Richard,Colella,St Margarets,HR2-3FS,406-555-3623,,1050000
C001213,L,70th Intelligence Support Squadron/Air Combat Command,The Council Offices,Kaye,Haynes,South Kilworth,LE17 6MQ,713-555-2233,kay_haynes@70t.com,3900
C050616,N,754 ELSG,66 Prescot Street,Jonathan,Perry,East Ardsley,WF3 7VW,612-555-3009,,44000000
C007287,N,754th Electronic System Group Enterprise Services,110 Cannon Street,Owen,Gregory,Gilfach,CF81 4FT,440-208-6951,ogregory6@0lktrnksstmk.com,1300
C042695,N,"7-Eleven, Inc.",FRAZIER RD,Fraser,Colquhoun,Windley Meadows,DE56-5LY,440-151-4436,fcolquhoun@lfnnk.com,690000
C015756,H,7seas Technologies Ltd.,1812 Newport Gap Pike,Lesley,Lee,Hole Park,TN17 4NG,018-374-2802,,4800000
C024085,L,84 Lumber Company,1300 N Market St,Michael,Lamacraft,Spa Common,nr28 7fl,018-754-7083,mic.lamacraft1@lmrkmp.com,84000
C000809,H,9ci Inc.,825 Logan St,Henry,May,Rhodmad,sy232cn,303-555-3889,,720000
C043521,N,A 1 Billiard Service Company,7706 HAYNES POINT WAY,Paul,Harper,Orleton,SY80HL,612-555-2933,,10100
C013002,N,A A A Steel & Energy (india) Ltd.,159 PARK ST,Michael,Eccles,Pollokshaws,G43 3EJ,410-555-3313,mic.eccles@aaaste.com,17000
C020102,H,A A I Development Services,26 W Main St,Edward,Rofe,Bourton,SP8 3ON,406-555-2819,erofe5@aaidevelopme.com,10000
C039274,N,A And A Seafood,345 MANHATTAN DR,Paul,Stone,Uplawmoor,G78 7CJ,406-555-3639,paul.stone@aandaseafood.com,1400000
C006577,N,A B & Co. Corporate Services Ltd.,623 Newfield Ave,Stephen,Manning,Chilbolton,so20 0hr,713-555-3855,stephen_manning@apk.com,5300000
C006057,H,A B B Business Services,1029 N STUART ST,Simon,Burgess,Harburn,eh557zd,022-558-9893,sburgess6@abbbusinesss.com,83000
C021192,N,A B B Global Inds. & Services Ltd.,Filton Road,Christine,Head,Llaniestyn,LL53 6QJ,302-555-2323,c_head@abb.com,6500000
C000969,L,A B B Instrumentation Ltd. [merged],1038 AUGUSTA DR,Herta,Dunn,Great Stambridge,SS4-2RO,012-145-1570,h_dunn9@abbins.com,56000000
C044018,N,A B B Ltd.,1105 N Market St,David,Hudson,Little Stanney,CH2 2UQ,019-661-8830,,56000
C032400,L,A B Bank Ltd.,100 Broadway,Robin,Mole,Elvaston,de72 2ks,440-134-4424,r_mole@appnklt.com,29000
C025942,N,A B C Auto Interior Decorators,617 N 2nd Ave,Yvonne,Blackborow,Eastgate,NR10-3JN,240-555-3322,,10200000
C001112,N,A B C Bearings Ltd.,1721 11th Ave,Patricia,Cresswell,Kinnersley,WR8 0GY,313-555-3677,patcresswell@abcbea.com,7700
C026122,L,A B C Commercial Co. Ltd.,10300 MILL RUN CIRCLE,Ian,Watts,Troutbeck Bridge,LA236EZ,512-555-1221,,23000
C021156,M,A B C Dubash Oil & Gas Pvt. Ltd.,Vinter House,Neil,Lapish,Bull s Green,SG3 2OI,612-555-3031,,93000
C019755,L,A B C Gas (international) Ltd.,1134 BAY OAKS RD,Peter,Pryce,Ford,HP17 6QK,014-537-9476,,7400
C033944,H,A B C India Ltd.,8661 COLESVILLE RD and FENTON ST,Susan,Williamson,Crossgates,LS15 1PY,013-409-5725,s.williamson@abcindialtd.com,56000
C028368,L,A B C O Plastics Ltd.,5756 Cass Ave,James,Palmer,Windermere,LA23 5OD,023-788-0647,,490000
C009252,N,A B C Paper Ltd.,9 Rivers Street Place,Bryn,Jones,Cane End,rg4 1rk,440-121-2655,b.jones@abc.com,1700
C024810,N,A B C Tube Inds. Ltd.,18 Daresbury Close,Margaret,Bowyer,Ardfern,PA31 7PC,024-431-8661,,200
C003039,H,A B Corp Ltd.,60 London Wall,Mari,Kalmre,Little Torrington,EX38 0WO,440-118-9246,mari_kalmre5@abcorpltd.com,54000000
C035394,L,A B Duplex Ltd.,12712 TIMBERSIDE DR,Krzysztof,Cietak,Balsall,CV7 3KR,002-288-8900,krz.cietak@aptplkslt.com,2900
C015669,H,A B G Infralogistics Ltd.,PO Box 422,Harbhajan,Kaur,Market Deeping,pe66dj,440-171-2903,harbhajan.kaur1@abginfralogi.com,8000000
C050348,N,A B G Kandla Container Terminal Ltd.,Central Mail Office,Nicola,O sullivan,Methlick,ab41 2iq,014-422-7550,no sullivan@apk.com,6100
C014672,N,A B G Kolkata Container Terminal Pvt. Ltd.,626 1/2 ALLSTON ST,Clifford,Richards,Corsemalzie,DG8 3ZL,713-555-2325,c_richards@apkklktkntnr.com,7200000
C033958,N,A B G Shipyard Ltd.,456 Lombard,Sarah,Wilson,Shennanton,DG8 4BK,440-193-2564,swilson1@apk.com,100000000
C022205,H,A B Holdings Pvt. Ltd.,GE Capital House,Gwyn,Davies,Kinnesswood,ky134jn,015-067-4821,,29000000
C023812,M,A B Hotels Ltd.,Filton Road,Kevin,Willmoth Allsop,Widford,SG12 8HK,443-555-0945,kevin_willmoth allsop@abhote.com,4500
C002254,N,A B I-showatech (india) Ltd.,1 Falcon Way,Charles,Cowley,Kirby Hill,HG4 7FL,440-208-6953,c_cowley0@abi.com,17000000
C051173,N,A B L Biotechnologies Ltd.,Fourth and Scott STS,Robert,Fox,Atherton,M46 0NF,303-555-3527,robertfox@aplptk.com,600
C014103,N,A B L International Ltd.,PO Box 454,Richard,Strauch,Huish Champflower,TA4 3XM,023-671-0099,r.strauch@aplntrnxnllt.com,8000000
C048948,M,A B Leasing & Finance Ltd.,700 University Blvd S #A,Ann,Hardy,Ifold,RH14 9AV,720-555-1184,a_hardy@aplsnk.com,42000
C014059,M,A B M International Ltd.,350 N Last Chance Gulch St,John,Mcbride,Twenty,PE10 8YB,301-555-6730,jmcbride@apm.com,5200
C000286,N,A B M Knowledgeware Ltd.,825 DULANEY VALLEY ROAD,Dhirubhai,Patel,Dagnall,HP49PB,301-555-9934,,2100000
C025020,N,A B M Securities Ltd.,3038 E 35th St,Madeleine,Arnett,Hadley Wood,EN4-2ID,512-555-1187,madarnett3@abmsec.com,9100
C016967,M,A B Mauri India Pvt. Ltd.,St Georges House,Margaret,James,Bolton By Bowland,bb74id,240-555-0549,margaret.james@apmrnt.com,6800000
C009578,N,A B Medical Centres Ltd.,16 Blythswood Square,Denis,King,Burwen,ll689ov,410-555-7777,d_king@apmtklsntrsl.com,26000000
C035269,M,A B N Granites Ltd.,1217 FRANCE ST,John,Powell,Acklam,TS5 9NV,302-555-2725,john.powell@abngra.com,6800
C037540,L,A B N-amro Bank N.v.,Principality House,Matthew,Parkes,Kylestrome,IV27 6IW,713-555-2563,m.parkes0@apnmrp.com,21000
C040561,L,A B P Tv Pvt. Ltd.,12 Riverside Court,Irene,Wheate,Bow,KW16 8SB,713-555-1189,ire.wheate@apptfp.com,15000000
C049410,H,A B T Industries Ltd.,Murray House,Lily,Westcott,Goadby,le74na,870-555-0493,lil_westcott@aptnts.com,2300000
C044460,L,A B T Ltd.,118 Beddington Lane,David,Florey,Cutts,ZE1 9FX,301-555-9380,dav_florey@aptlt.com,8000000
C025123,M,A C C Concrete Ltd.,Prospect West,Ruth,Mitchell,Woodsford,DT2 5CF,713-555-2625,,660000
C050094,N,A C C Ltd.,1707 W GARDENIA AVE,Belinda,Kent,Killiecrankie,ph16 4vx,720-555-1205,bel.kent@accltd.com,3700000
C017598,N,A C C Machinery Co. Ltd.,18458 James Couzens Fwy,Mohinder,Khela,Street End,po20 3mh,713-555-2793,moh.khela@akmxnrklt.com,9800000
C011808,L,A C C Mineral Resources Ltd.,27 Rowe House,David,Strefford,Cheverell s Green,AL3-5HS,313-555-3335,david_strefford9@accmineralre.com,250000
C028194,H,A C C-nihon Castings Ltd.,1 Pemberton Road,Raymond,Miller,Lower Wraxall,DT2 7UR,313-555-3423,ray.miller9@aknhnkstnksl.com,6800
C034199,N,A C E Designers Ltd.,25 The North Colonnade,Paul,Haines,Force Forge,la12 5kz,302-555-2739,paulhaines@acedesigners.com,200000
C015985,N,A C E Diagnostics & Biotech Ltd.,120 Leman St,Gemma,Quinn,Swannington,NR9 0SY,469-555-2647,g.quinn1@aktnst.com,10500000
C047500,N,A C E Glass Containers Ltd. [merged],16827 Q St,Kim,Morgan,Chorlton Cum Hardy,M21 2JZ,302-555-2729,kimmorgan@akklsk.com,91000000
C027388,L,A C E India Ltd.,Pp RT04.14B Riverside Tower,Josephine,Burton,Heskin Green,PR7 4VT,302-555-1229,,10600000
C003037,N,A C E Laboratories Ltd.,Pp 613B Holborn Centre,John,Walker,Cholsey,OX10 0GN,410-555-3317,joh.walker@ace.com,5400
C049304,H,A C E Stonecraft Ltd.,St Clements House,John,Davies,Dalrulzian,PH10 5FF,017-217-8385,johndavies@acestonecraf.com,79000000
C040762,N,A C I (agro Chemical Inds.) Ltd.,52 Lime Street,Jill,Tooze,Cougie,iv4 4dh,440-125-6851,,990000
C018270,N,A C I Infocom Ltd.,2751 Hennepin Ave,Barbara,Holland,Weston Underwood,MK466PV,020-217-8933,,740000
C003617,N,A C L Components Ltd.,Maple House,Leslie,Guy,Seaford,BN25-7FD,021-037-2769,,8100
C009575,M,A C M E Telepower Ltd.,1 Cabot Square,Glenda,Stanton,Glassford,ML108OU,440-121-2655,glestanton@acm.com,46000000
C001721,H,A C Nielsen O R G Marg Pvt. Ltd.,Dept Of Computer Science,Paul,Hartshorn,Whauphill,dg8 3xu,020-744-6399,phartshorn@acnielsenorg.com,1000
C042166,L,A C Shelter Pvt. Ltd.,MUNGER,Ian,Howey,Lunanhead,DD8 7HJ,440-370-9515,ihowey@acshel.com,59000000
C050154,N,A C T India Ltd. [merged],28 SLEEPY HOLLOW RD,John,Lambert,Chapel St Leonards,PE24 0WY,440-121-6436,jlambert6@aktntl.com,7400000
C021262,N,A D A Software & Services Pvt. Ltd.,1004 W 24th St.,Mandy,Cooper,Hardwick,CB3 1BI,203-555-3215,mcooper4@adasof.com,72000000
C014703,H,A D F Foods Ltd.,800 Delaware Ave,Andrew,Dalton,Eaglesfield,CA13 9HU,018-959-5542,adalton@atfftslt.com,96000000
C016220,L,A D Hydro Power Ltd.,1321 VASSAR ST,Gillian,Wyatt,Brundish,IP13 1AK,302-555-2727,gilwyatt@adhydr.com,32000
C051461,M,A D R C Health Care Ltd.,1400 HERMANN DR,Yvonne,Billett,Cooksbridge,bn72pm,302-555-2241,y.billett1@atrkl0.com,100000000
C027009,H,A D S Diagnostic Ltd.,4550 New Linden Hill Rd,Kevin,Butler,West Stow,ip288ce,440-134-4300,,8900000
C023594,N,A E C (india) Ltd.,4237 New Linden Hill Rd,Clive,Read,North Green,IP21 5DN,014-678-9945,,108000000
C000158,L,A E C Cements & Constructions Ltd.,1721 11th Ave,Robert,Thorp,Mains Of Dudwick,AB416DE,713-555-2657,,300000
C009344,L,A E C Enterprises Ltd.,14403 ELLA BLVD,Terence,Conagham,Tredunnock,NP5 3YO,012-843-4409,,6200000
C050279,N,A F BLAKEMORE & SON LTD,1 S Royal St,Christopher,Coe,Leys,AB42 9IX,713-555-2561,,8700
C001372,N,A F C O Industrial & Chemicals Ltd.,21 Pynchon Paddocks,Michelle,Atkinson,Tylorstown,CF43 3CE,302-555-2747,,103000
C016458,L,A F L Infotech Ltd. [merged],The Science Park,David,Barley,Newton,IV1-3JF,612-555-3001,,96000
C024339,L,A F L Pvt. Ltd.,Pp 4A120 Angel Centre,Diane,Wells,Solsgirth,FK147BP,713-555-2565,dwells@afl.com,11000
C011806,L,A F L Worldwide Ltd.,29-53 Chatham Place,Clarence,Mckenzie,Ratho,EH28 8TQ,402-555-3129,clarence.mckenzie@afl.com,27000
C027385,N,A F Technologies India Pvt. Ltd.,"5th Floor, 2 Minster Court",Catherine,Highfield,Lower Winchendon,HP18 4ZG,612-555-3007,,1020000
C023847,L,A G Fats Ltd.,"Excel House, Unit 15",Michael,Jackson,Keyingham,HU12 9KC,015-525-2759,,82000
C013532,H,A G Glass Ltd.,5301 Limestone Rd,Wayne,Kite,Banton,G65 5NP,002-010-8385,way_kite@agglassltd.com,96000
C005842,M,A G I Developers Ltd.,4200 E 9th Ave,Timothy,Sankey,Langley,CV37 1UU,302-555-1167,t_sankey@agidev.com,104000
C049787,N,A G I Glasspack Ltd.,6th Floor Broad Quay House,Helen,Ward,Marcham,ox13 0au,021-061-5473,h_ward@agiglasspack.com,71000
C022315,H,A G Industries Pvt. Ltd.,1 Great St Helens,Lynne,Conaboy,Cowan Bridge,LA6-9WU,302-555-2235,lynne_conaboy3@agindustries.com,800
C034572,M,A G K Computer Secure Prints Ltd.,1930 Prospect Ave,Lindsay,Connellan,Gayton Le Marsh,LN13 3VI,018-637-6535,lconnellan@agkcomputers.com,35000
C028459,M,A G R Investments Ltd.,2513 CALUMET ST,Glenys,Roberts,Millcombe,TQ9 3SF,440-192-3684,,3200000
C034209,N,A G S Holdings Pvt. Ltd.,14 E GREENWAY PLZ,Marilyn,Brennan,Moss Side,IV12 9LU,303-555-3253,marilyn_brennan5@agsholdingsp.com,900000
C049778,N,A G S Hotels & Resorts Pvt. Ltd.,2008 NIGHTINGALE AVE,Doreen,Greenhill,Frinsted,me96ar,612-555-3019,dgreenhill@agshot.com,2800000
C033887,N,A G S Infotech Ltd.,1262 VOCKE ROAD,Christopher,Chilton,Thorley,CM23-4NX,016-089-4634,,17000
C011697,N,A H W Steels Ltd.,2345 cowboy drive,Mohamed,Sadiq,Lawkland,la2 5ak,302-555-2551,mohamed.sadiq4@ahwste.com,45000
C023467,H,A I A Engineering Ltd.,4717 FLAKE AVE,Alan,Dean,Barrington,ta191tn,302-555-2735,a_dean6@aiaengineeri.com,10800
C009967,N,A I Champdany Inds. Ltd.,"c/o P Godber, Rnas Yeovilton",David,Bunn,Stonehaven,AB3 4TK,440-125-2818,,860000
C038343,N,A I G Global Asset Mgmt. Co. (india) Pvt. Ltd.,3600 HOLMAN ST,Shashi,Bagga,Horsford,NR10 8EJ,623-555-3169,shashi.bagga@aigglobalass.com,7300
C044585,N,A I G Home Finance India Ltd.,189 Lower Marsh,David,Balgarnie,Caledon,BT680KH,406-555-3329,d.balgarnie@aighomefinan.com,83000
C015587,H,A I S Glass Solutions Ltd.,301 N Walnut St,Nancy,Collins,East Hatley,sg192ct,313-555-3641,nancy.collins@ais.com,43000000
C015766,H,A Infrastructure Ltd.,High Cross,Hazel,Prodger,Fifield,OX7 0YD,440-179-3489,,5700000
C041049,N,A J Brothers Ltd.,5 North Colonnade,Dennis,Young,Kincorth,AB1-0KV,713-555-1192,,41000
C047388,L,A J Enterprises Ltd.,Tricity House,Adrian,Todd,Grove,DT5 7JQ,302-555-2737,atodd@ajenterprise.com,44000000
C021244,H,A K C Steel Inds. Ltd.,8 Lloyds Avenue,Basil,Taylor,Bohenie,PH31 8IM,713-555-2613,,82000000
C008045,N,A K C Synthetics Ltd.,Davis House,Daniel,Atkinson,Port Nis,hs23ws,713-555-2651,danatkinson@akcsyn.com,850000
C040231,H,A K Capital Corpn. Pvt. Ltd.,370 17th St,Sohail,Khokhar,Easter Boleskine,IV1 8TG,001-811-9069,,1020000
C016381,N,A K Capital Markets Ltd.,29 Hill Rd,Julie,Brown,Strathmiglo,KY14-5PA,019-193-6638,j.brown@akcapi.com,920000
C025185,H,A K Capital Services Ltd.,2701 Kirkwood Hwy,Trevor,Guest,Whitfield,NE47 6VK,303-555-3605,,3000000
C016965,M,A K G Acoustics (india) Ltd.,303 N F M 620,Colin,Knott,Moin a choire,PA44 9WW,301-555-3333,cknott@akg.com,600
C040948,N,A K G Securities & Consultancy Ltd.,986 New Linden Hill,Clare,Perry,Taobh A deas Loch Baghasdail,HS8 8JQ,302-555-2751,,2800000
C031888,M,A K Gandhi Mktg. Pvt. Ltd.,201 E LAUREL AVE,Arunthathi,Sharvanandhan,Leadburn,EH46 2ZG,713-555-2627,,630000
C011709,M,A K L Soft & Infosys (india) Ltd.,4730 Limestone Rd,David,Mcdonagh,Gell,ll522gu,440-192-8598,dav_mcdonagh@akl.com,170000
C023630,N,A K S Bearings Ltd.,615 BIRDSALL ST,Rodney,Spencer,Ashington,ne63 8pn,448-701-1178,r_spencer8@aksprnkslt.com,9200
C038498,N,A K S Credits Ltd.,2115 Woodward Ave,Alison,Meredith,Gallatown,KY1 1RV,016-935-7456,,90000
C039080,N,A K S Financial Services Ltd.,18434 Joy Rd,John,Day,Garthmyl,SY21 6ZA,410-555-5938,joh.day@aksfin.com,900000
C006576,N,A K S International Ltd.,I-95 and Naamans Rd,Lynette,Dickinson,Mearns,G77 5NJ,504-555-3021,ldickinson@aksinternati.com,92000000
C003112,N,A K Stockmart Pvt. Ltd.,Filton Road,Frances,Grainger,Connel Park,KA18 7AN,713-555-2659,,1800000
C045848,N,A K Structural Foam Ltd. [merged],Municipal Buildings,Karen,Ingleston,London,EC3P 0OK,302-555-2573,kingleston@akstrk.com,650000
C000480,N,A L B Leasing & Finance Ltd.,"Pinewood House, Bexley Hospital",Colin,Bick,Holcombe,ba34zb,440-208-6957,col_bick@albleasingfi.com,11000000
C001522,N,A L F Insurance Services Pvt. Ltd.,161 Marsh Wall,Mandy,Hilton,Milfield,ne715pt,440-208-2075,mandy_hilton1@alfins.com,54000
C035676,N,A L Sudershan Construction Co. Ltd.,68 Upper Thames Street,Richard,Lawry,Yate,bs371gp,406-555-3419,ric.lawry4@alstrxnknstr.com,68000
C046790,N,A M D Estates & Developers Pvt. Ltd.,1713 N 34TH ST,John,Firth,North Kilvington,yo7 1wb,713-555-3495,,240000
C004225,L,A M D Industries Ltd.,1105 N Market St,John,Hatcher,Langthorpe,yo5 1yj,713-555-2901,joh.hatcher@amdind.com,5700
C006167,H,A M E I Power Ltd.,1410 Grant St,Christopher,Dyer,Denton,CT4 2UR,022-471-1982,chr.dyer4@ameipo.com,6500
C051302,M,A M G F Intercorp Ltd. [merged],114 Middlesex Street,Angelina,Zitola,Knowle,EX9-1NL,512-555-2551,,98000000
C039899,H,A M I Computers (i) Ltd.,81 HASSEN HEIGHTS RD,Helen,Wall,Gaerwen,LL60-0PU,023-758-8010,h_wall@amk.com,1600000
C048209,M,A M I Ganga Infrastructure Ltd.,Vinter House,John,Price,Bratton Fleming,ex32 7yk,512-555-2249,jprice5@amigan.com,22000000
C022039,N,A M L Steel & Power Ltd.,1023 N Last Chance Gulch St,Patricia,Jackson,Pennygown,pa72 5vc,440-145-2334,,18000000
