Customer Id,Forename,Surname,Age,Income,Debt,Creditscore,Company Name,Addressline,City,Postcode,Phone,Additional Information
C000313,Sharon,Hetherington,18-May-54,2271,,,Arman Financial Services Ltd.,400 N 5th St.,Hunton,ME151LI,170-388-6753,shahetherington@arm.com
C000324,Roy,Hayden,27-Feb-76,978,,,Ashibej Industries Ltd.,St. John's Innovation Centre,Bishopswood,TA20-6PM,170-324-7714,
C000329,Julie,Taylor,03-Jun-90,3097,,,Asesoria Estragica,Savannah River Site Rd 1,Penygarnedd,SY10 0TI,181-397-8220,julie_taylor@asesor.com
C000353,Mohammed,Hassan,26-Aug-68,4143,,,Arnold Holdings Ltd.,50 W. San Fernando St.,Lyneham,ox75cz,180-346-2800,mhassan0@arnold.com
C000375,William,Jackson,27-Sep-85,0,0.75,0,Adhunik Metaliks Ltd.,Fort de Bicetre,Great Mitton,BB7-4BI,952-472-5945,
C000397,Benjamin,Desanges,05-Feb-70,4362,,,"ADT Security Services, Inc.",rue du 19 mars 1962,Iron Cross,WR11-4TG,126-721-6130,b.desanges@adtsec.com
C000409,Kathryn,Palin,21-Oct-94,4090,,,Amar Alcoholi Ltd.,PO Box 244,Wentworth Castle,S75 6CP,141-568-7545,
C000412,Patricia,Roberts,05-Nov-56,1657,,,Apparel Ventures,202 Burlington Rd.,Langham,NR25 7IC,140-467-6694,pat.roberts@aprlfntrs.com
C000415,Jean,Williams,27-Sep-94,9,0.75,1,Adcon Technologies Ltd.,Postbus 20401,Fillingham,dn210cm,207-548-7223,
C000434,Kulwant,Bains,03-Aug-62,2767,,,ANWB,26 Electronic Pkwy.,Epsom,KT17 5QF,170-350-6546,
C000439,Roy,Davies,01-Jan-95,4291,,,Ashco Niulab Exports Ltd.,10 Harewood Avenue,Talsarnau,LL47 8GR,181-397-8531,
C000440,Adrian,Fletcher,20-May-69,2100,,,Arihant Udyog Ltd.,2850 Ocean Park Blvd Ste 225,Marston Meysey,SN6 0UK,195-459-6372,
C000459,Andrew,Butcher,02-Jan-88,1911,,,3M France,607 W Stassney Ln,Hutton Bonville,DL7 2TC,302-555-2601,a_butcher@mfranc.com
C000480,Colin,Bick,27-Sep-95,0,11,0,A L B Leasing & Finance Ltd.,"Pinewood House, Bexley Hospital",Holcombe,ba34zb,440-208-6957,col_bick@albleasingfi.com
C000495,Christopher,Gitsham,10-Sep-77,4119,,,"Advanced Energy Industries, Inc.",228 Strawbridge Drive,Kerrysdale,IV21 6ZA,197-301-1114,
C000518,Andrea,Owen,27-Sep-93,347,0.46,6,Activant Solutions Inc.,116 Cockfosters Road,Stanborough,al80lt,021-212-8591,
C000573,Derek,Hingley,05-Oct-91,3217,,,Antariksh Interactive Pvt. Ltd.,181 Constitution Dr.,St Mark s,im96ze,192-586-7510,der_hingley@antari.com
C000590,Karl,Pugh,27-Sep-88,108,1.25,2,Adcon Capital Services Ltd.,Postbus 20101,Ardtrostan,PH6 5II,178-640-2196,
C000618,Jean,Jackson,27-Sep-98,1,7.25,1,Aditya International Ltd.,1168 12th St NE,Glenconglass,AB37 5MG,161-229-1918,
C000620,Shelley,Careless,19-Oct-51,4758,,,Ambuja Cement India Pvt. Ltd.,16619 Palm Royal Dr Apt 221,Nesbit,NE71 2LK,141-566-7971,shecareless@ambuja.com
C000731,Gillian,Beaton,27-Sep-77,2300,7.54,14,A S K Financial Services Ltd.,Winster House,Trewern,SY21 7UQ,012-433-7491,gil_beaton@askfnnslsrfs.com
C000759,Barbara,Evans,01-Oct-98,2738,,,Aryaman Financial Services Ltd.,Gifhorner Strasse 57,Norton Wood,hr49iy,170-362-8123,barbara_evans@aryamanfinan.com
C000782,Richard,Carter,07-Jan-94,2916,,,Akshay Fiscal Services Ltd.,PO Box 400,Cardow,ab38 9ms,141-522-2757,
C000803,John,Wootton,22-May-53,2884,,,Aspinwall Geotech Ltd.,2950 North Loop W,Lower Green,TN23RE,572-212-1457,jwootton@asp.com
C000809,Henry,May,21-Jun-73,2597,,,9ci Inc.,825 Logan St,Rhodmad,sy232cn,303-555-3889,
C000822,James,O malley,06-Mar-90,4704,,,Arandell Corporation,2355 W. Chandler Blvd.,Bocaddon,PL13 9EA,171-948-4206,
C000837,Linda,Smith,22-Jan-76,2230,,,Alok Ferro Alloys Ltd.,PO Box 1459,Daltot,pa318gh,602-263-6011,
C000865,Alan,Freeman,28-Oct-63,2093,,,Asia Lpg Pvt. Ltd.,Eagle Court,Clappers,TD156LP,562-999-5000,ala_freeman@aslpkp.com
C000876,Howard,Edwards,09-Oct-96,1487,,,Appeline Cosmetics & Toiletries Ltd.,4300 N. Harbor Blvd.,Corrymuckloch,PH8-8QH,177-020-6620,
C000891,Roy,Cotterill,20-Sep-74,371,,,ALPTIS ASSURANCES,P.O. Box 19800,Tyle Garw,CF72 8BN,180-869-3191,roy.cotterill7@alptisassura.com
C000953,Alan,Evans,27-Sep-92,1,13.5,1,Aditya Vikram Impex & Invsts. Pvt. Ltd.,6380 West Canal St,Aston Upthorpe,OX11-0VZ,168-765-7865,
C000969,Herta,Dunn,26-Mar-87,2188,,,A B B Instrumentation Ltd. [merged],1038 AUGUSTA DR,Great Stambridge,SS4-2RO,012-145-1570,h_dunn9@abbins.com
C000977,Shane,Kilcline,27-Sep-80,113,0.125,0,Abhinav Leasing & Finance Ltd.,1276 N WAYNE ST,Derwen,ll21 5hv,240-555-4498,
C000990,Robert,Cope,03-Jul-66,1466,,,Amrit Protein Foods Ltd. [merged],1 Front St.,Wootton Courtenay,TA24-6OO,171-684-1685,
C001018,Vincent,Bell,25-May-66,1120,,,Advanced Oral Care Products Ltd.,Nokia House,East Rainton,DH5 3XA,131-269-3555,vbell8@atfnstrlkrpr.com
C001035,David,Dyson,24-Aug-96,4147,,,Arul Mariamman Textiles Ltd.,Fritz-Hornschuch-Str. 9,Gunby,yo82di,177-093-4054,dav_dyson@arulma.com
C001045,Colin,Davies,13-Jul-93,3859,,,"Applebee's International, Inc.","Avda. General Peron, 38",St Breward,pl309or,167-825-9821,
C001047,Suzanne,Howell,08-Nov-73,4010,,,Arvind Fashions Ltd. [merged],F�rbergasse 15,Little Lawford,CV234VL,130-159-5140,
C001059,Paul,Clack,27-Sep-61,50,7.08,3,acs,Lombard House,Drumfern,ph333pq,440-115-9018,pclack1@aks.com
C001074,Lynda,Rankin,14-Jul-62,4916,,,Asit C. Mehta Financial Services Ltd.,372 Danbury Rd,Wheedlemont,ab54 6kd,551-156-1321,
C001093,Asam,Stanners,23-Sep-73,4191,,,Amrut Ink Ltd.,13-1085,Talskiddy,TR9 0UL,184-746-0417,asam.stanners@amruti.com
C001103,Mark,Blacker,09-Sep-68,807,,,3d Technopack Ltd.,131 PUTNEY RD,Lyndon,le15 0jq,014-804-1088,m_blacker@3dtech.com
C001112,Patricia,Cresswell,02-Mar-74,3988,,,A B C Bearings Ltd.,1721 11th Ave,Kinnersley,WR8 0GY,313-555-3677,patcresswell@abcbea.com
C001118,Beryl,Field,16-Mar-61,3855,,,"Alcatel USA, Inc.",8005 SW Boeckman Rd.,London,SW12 7TQ,120-650-0130,berfield@alcate.com
C001123,Mandy,Marsh,12-May-99,3871,,,Assambrook Ltd.,300 North Green St.,Loves Green,cm1 9bi,528-187-4805,
C001167,Frederick,Davis,04-Jun-71,829,,,Aplab Display Devices & Systems Ltd.,"1, route du Docteur ALbert Schweitzer",Fowlis,dd20sq,177-066-3247,frederickdavis@aplpts.com
C001180,Colin,Baker,22-Jul-92,1582,,,Anagram Securities Ltd.,548 S. Spring St.,Southmuir,DD8 9KH,949-724-3391,colbaker@anagra.com
C001187,Donna,Grego,25-Jul-93,1737,,,Alka Diamond Inds. Ltd.,Information Systems & Services Division,Copister,ze2 1ze,194-983-3498,don.grego@alkadiamondi.com
C001202,Geoffrey,Densley,05-Sep-90,267,,,Asea Ltd. [merged],60 Commerce St.,Lochore,KY5-5HU,141-073-6725,geo.densley@ase.com
C001213,Kaye,Haynes,12-Dec-88,362,,,70th Intelligence Support Squadron/Air Combat Command,The Council Offices,South Kilworth,LE17 6MQ,713-555-2233,kay_haynes@70t.com
C001217,Hks,Toor,02-Feb-85,870,,,Agrawal Metal Works Pvt. Ltd.,PO Box 1533,Bolton Abbey,BD23 3MW,171-446-6854,htoor@akrlmt.com
C001280,David,Dowson,13-Dec-65,4367,,,Arvind Polycot Ltd. [merged],Nevinghoff 25,Sunnyside,NE46 5SH,177-080-4356,d_dowson5@arfntp.com
C001350,Paul,Wyatt,27-Sep-92,0,6,3,Adams County,P.O. Box 140909,Northwold,ip26 1ic,207-888-2097,paulwyatt0@adamscounty.com
C001372,Michelle,Atkinson,27-Sep-89,35,1.5,11,A F C O Industrial & Chemicals Ltd.,21 Pynchon Paddocks,Tylorstown,CF43 3CE,302-555-2747,
C001382,John,Whitehouse,17-Feb-62,2228,,,"Advanced Fibre Communications, Inc.",1 Claibourne Ave,Newhall,DE11 0MR,141-421-2133,j_whitehouse6@advancedfibr.com
C001391,Brian,Pitt,27-Sep-73,15,2,2,A T E Rectifiers Ltd.,14399 FM 1826,Greenhead,CA6 0SN,623-555-3797,
C001424,John,Breen,23-Jan-87,4066,,,"Alticor, Incorporated",Postbus 3000,Thornborough,DL8 2WA,171-467-2197,j.breen@altkrnkrprtt.com
C001431,Lisa,Everton,27-Sep-95,0,9,0,Aditya Birla Chemicals (india) Ltd.,Postbus 98,Wingates,NE65 6SL,131-269-3590,l.everton@attprl.com
C001442,Christine,Webb,27-Sep-42,351,19,2,Achal Finance Ltd.,Barrs Fold Close,Chineham,rg24 6oi,440-468-2614,chr.webb@axl.com
C001448,Carol,Tromans,15-May-95,3586,,,Advance Powerinfra Tech Ltd.,142 W. 57th St.,Dunkeswick,LS17 8UR,170-394-7236,
C001454,James,Wilson,26-Apr-68,165,,,Anukool Trade & Finance Ltd.,25 First St.,Upper Hartfield,tn70bo,713-553-2202,
C001464,David,Greenway,26-Mar-98,480,,,Alliance Data Systems Corporation,"CS&S IT , Cathcart Business Park",Ipsden,OX10 1FM,925-681-5162,
C001482,Antony,Cleobury,01-Feb-93,2090,,,"Alderwoods Group, Inc.",222 Merchandise Mart,Roshven,PH38 6IT,120-639-9064,ant_cleobury8@altrts.com
C001483,Jean,Lock,01-Feb-98,1198,,,Anuvin Industries Ltd.,9225 Towne Centre Dr,Bethesda,SA67 8OV,336-698-1701,
C001490,Susan,Bussey,15-Nov-59,4702,,,Advance Steel Tubes Ltd.,1 Dell Way # 6,Newton,ph80gy,167-865-7439,sus.bussey@advanc.com
C001506,Gordon,Merrick,22-May-92,2285,,,Allied Strips Ltd.,101 Green St.,Little Cawthorpe,LN11 5BL,181-870-4342,gormerrick@alliedstrips.com
C001510,Gerardo,Melillo,22-Feb-78,2506,,,AIG Annuity Insurance Company,"D&A Campus, Aston Cross Business Park",Endmoor,la86lh,120-692-4071,g_melillo@aigannuityin.com
C001522,Mandy,Hilton,27-Sep-89,500,1,2,A L F Insurance Services Pvt. Ltd.,161 Marsh Wall,Milfield,ne715pt,440-208-2075,mandy_hilton1@alfins.com
C001524,Kim,Deakin,15-May-91,2777,,,Archive Inc.,311 Arsenal St.,St Briavels,GL15 3YY,121-455-0700,kim.deakin7@archiv.com
C001527,Tina,Bolton,23-Jan-78,1664,,,Aico Finance Ltd.,120 East Kensinger Dr.,Thornyhill,AB305QD,120-692-5123,tin_bolton@akf.com
C001528,Inez,Ewers,11-Nov-85,3151,,,Agence Centrale Des Organismes D'Intervention Dans Le Secteur Agricole,1717 E. Interstate Ave.,Stithians,TR3 5TK,121-054-3451,
C001550,Debbie,Robinson,19-Jul-62,1419,,,Anh Refractories Company,11 Kingcrest Ct Apt F,Ewen,GL7 8JB,181-866-2131,deb.robinson@anrfrktrskmp.com
C001552,Ivor,Rohsler,05-Mar-93,1168,,,Alliance Laundry Systems,One Technology Place,Great Gaddesden,HP1 3HK,141-522-2177,
C001558,Ann,Warren,01-Oct-85,2736,,,American Systems Corp.,9231 Irvine Blvd,Lambston,SA62 1NU,140-844-6311,a.warren@amrknsstmskr.com
C001597,Martyn,Dunn,23-Jun-80,3089,,,Archetype Consulting,Konrad-Adenauer-Allee 1,Trewalder,PL33 3HD,126-279-6681,m.dunn@archet.com
C001604,Anthony,Fey,21-Mar-89,3260,,,As0l Enterprise,Taefernstr. 4,Fancott,LU5 5MS,173-257-7321,anthony_fey@aslntrprs.com
C001607,Robert,Johnston,11-Mar-69,4961,,,America Rosy Health Company,800 N Brand Blvd,Fingland,dg4 1gd,162-658-4223,
C001638,Linda,Wix,24-Jan-81,3919,,,Amu Shares & Securities Ltd.,550 Newport Center Dr,Grantley,HG49MQ,131-021-2334,linda_wix7@amx.com
C001654,Dean,Hederington,27-Sep-94,0,0.585,0,Adarsh Plant Protect Ltd.,Via A. Volta 16,Wilton,SN8 3LA,207-626-4588,
C001670,John,Harden,19-Jan-98,4926,,,Alfa Insurance Corporation,2700 Via Fortuna,Pontyberem,sa150cq,194-983-3622,johnharden1@alfnsr.com
C001711,Ruth,Taylor,03-May-57,3747,,,Amalgam Foods Ltd.,Old Broad Street,Arford,GU35 7EU,171-467-1710,r.taylor@amalgamfoods.com
C001721,Paul,Hartshorn,27-Sep-90,11,14.5,1,A C Nielsen O R G Marg Pvt. Ltd.,Dept Of Computer Science,Whauphill,dg8 3xu,020-744-6399,phartshorn@acnielsenorg.com
C001743,Pavil,Olenik,23-Jan-81,3771,,,Anamallai Planter's Association,790 E. Colorado Blvd.,Maesbury Marsh,SY10 6SW,130-376-8173,polenik@anamallaipla.com
C001744,Dean,Leake,05-Sep-52,769,,,Aqualand (india) Ltd.,Watling Court,Ballasalla,IM9 2YH,190-143-4842,dleake@aklntntlt.com
C001766,Hazel,Whiston,27-May-57,2166,,,Airlines Reporting Corp.,8435 Stemmons Freeway,Welham,DN22-0UX,197-132-1644,
C001788,Christopher,Criddle,11-Nov-76,3024,,,Apollo Finance Ltd.,14 avenue du Pav� Neuf,Kingscote,gl87gw,177-061-9837,chr.criddle@apo.com
C001812,Derek,Raymond,12-Sep-53,4305,,,Apharmo Ltd.,200 Bloor St. East,Kirklington,ng220hl,177-075-2364,derek_raymond5@apharmoltd.com
C001818,Julie,Bissell,01-Sep-51,61,,,AGRS,P. O. Box 3012,Thockrington,NE487SH,253-596-3195,jbissell0@akrs.com
C001870,Sheila,Lawrence,28-Jun-54,3902,,,"Agilysys, Inc.",PO Box 8770,Little Petherick,PL27 8ZI,131-023-1400,sheilalawrence@agilysysinc.com
C001882,Sarah,Birch,27-May-81,1481,,,Ambica Developers Ltd.,Grenzacherstrasse 124,Bishop s Castle,SY9 9RE,141-566-7945,
C001885,Sean,Adams,16-Jul-66,4744,,,Argosy Gaming Co.,4690 Millenium Drive,Ruabon,LL14 6TL,180-383-5674,sea_adams3@argosygaming.com
C001889,Linda,Crichton,18-Jan-95,380,,,Alstom Projects India Ltd.,167 Worcester St,Ranworth,NR13 7BN,132-372-7367,lcrichton@alstomprojec.com
C001945,John,Belcher,27-Sep-87,28,1.04,10,ACTIS,Cheylesmore House,Tomnamoon,IV368RF,017-499-9323,
C001946,Peter,Nash,01-Feb-60,4278,,,"AMN Healthcare Services, Inc.","4-6, rue Berthelot",Wadesmill,SG126NX,130-373-7321,pet.nash@amnhea.com
C001949,Trevor,Thompson,05-Mar-72,741,,,Amara Raja Batteries Ltd.,38 Habanay St.,Chilbolton,SO20 8IB,141-566-7111,t_thompson@amarar.com
C001956,Mark,Nash,26-Aug-71,4911,,,Aruna Constructions (india) Ltd.,Saalburgstrasse 153,Longney,GL2 1QH,678-443-1659,marnash6@arunaconstru.com
C001957,Jeremy,Sparks,19-Jun-55,4140,,,Altera Corporation,Oude Lindestraat 70,Coedpoeth,LL11 9ZW,171-425-7518,jsparks@alteracorpor.com
C001977,Alan,Bagnall,20-Feb-66,4006,,,ASK.COM,77 W. Wacker Dr.,Kingston,bh24 5ki,552-733-4814,ala_bagnall@askkm.com
C001983,Pivitor,Goroya,27-Sep-89,13212,15,0,Adani Developers Pvt. Ltd.,Handwerkstrasse 5-7,London,sw53ec,870-366-2002,piv_goroya@adanidevelop.com
C002018,Louise,Penny,27-Sep-94,25,2.75,0,Abee Info-consumables Ltd.,"PO Box 240, Sovereign House",Cefn Einion,sy9 0df,713-555-1168,louise_penny@abeein.com
C002024,Olwyn,Wood,14-Mar-55,2327,,,Allegra Network,PO Box 2800,Snowshill,WR12 4WT,415-357-6554,o_wood@alkrntrk.com
C002038,Leigh,Shephard,27-Sep-98,0,4.415,0,"Ackerley Group, Inc.",Crown House,Wimbish,CB10 0GJ,019-398-5097,l_shephard@ackerleygrou.com
C002052,Tracey,Fitzpatrick,20-Jan-71,4757,,,Alcatel CIT,P.O. Box 269,Dawn,LL22 6CB,120-650-0120,
C002064,Martin,Turner,14-Aug-58,3522,,,Aquarian Realtors Pvt. Ltd.,500 S. Buena Vista,Bonhill,G83 0WN,901-263-9089,
C002068,Terence,Heath,01-Jan-57,1427,,,Alfa Export Technologies India Ltd.,301 Sullivan Way,Cadney,DN20 1NO,818-775-7348,
C002087,Brian,Perkins,08-May-68,1508,,,Alps Automotive,525 Market St.,Coulport,G84 6ZG,194-922-2830,bri_perkins@alpstmtf.com
C002098,Mrinal,Ghosh,17-Dec-88,3629,,,Andhra Sugars Ltd.,2998 San Pablo Ave,Grafton,HR2 5UZ,171-333-1708,m.ghosh@andhrasugars.com
C002123,Rose,Collins,19-Apr-84,2849,,,Apple Asset Mgmt. Ltd.,2000 Sierra Point Pkwy,Kirkpatrick Durham,DG7 7JZ,167-825-9825,rcollins@appleassetmg.com
C002130,Karl,Seaman,07-Nov-72,629,,,Agrani Wireless Services Ltd.,1 CIT Drive,Llanfyllin,sy225gf,130-376-4627,karseaman@akrnrl.com
C002131,Philip,Pinches,27-Sep-72,0,1.5,0,Acro Service Corp.,220 Warwick Road,Haverigg,LA18-4KN,440-956-8962,ppinches@akrsrfskrp.com
C002133,Craig,Hughes,22-Oct-52,3817,,,Adroit Industries (india) Ltd.,46 47 Quai Alphonse-Le-Gallo,Underriver,TN159ZY,146-966-5625,c_hughes5@adroit.com
C002141,Jasvir,Kaur,25-Dec-79,2857,,,Ambalal Sarabhai Enterprises Ltd.,3165 Pacific Hwy,Grade,TR12 0KA,141-566-7109,jkaur6@amb.com
C002142,Sonia,Gregory,15-May-77,4871,,,"Arancia Corn Products, S.A.de",200 Front St. West,Fairley,AB1 7SX,190-126-3500,sgregory@aranciacornp.com
C002146,Brian,Lloyd,18-Sep-94,4111,,,Archway Investment Co. Ltd.,177 White Plains Rd Apt 59F,Smallthorne,ST6 8EU,121-455-0763,
C002153,Stephen,Williams,22-Nov-58,1744,,,Albemarle Corporation,PO Box 2339,Cerrigydrudion,LL21 4CF,120-655-4510,swilliams@albema.com
C002182,Anthony,Dow,13-Sep-51,4126,,,Advanced Process Control S,1100 Cadillac Court,Dalwood,ex130qz,177-379-3441,
C002194,Inderpreet,Gill,21-Oct-98,3496,,,"Altria Group, Inc.",155 University Avenue,Llanfairpwllgwyngyll,ll61 6ts,171-425-7567,indgill@altrkrpnk.com
C002219,David,Wade,19-Sep-85,2502,,,3i Infotech Insurance & Re-insurance Brokers Ltd.,Woodside,Spittal,TD15 6AD,440-208-2142,dwade@iinfot.com
C002223,Geoffrey,Anson,03-Oct-99,4105,,,Apex Traders & Exporters Ltd.,Otto-Hahn-Ring,Lyness,KW16-1XM,177-075-2407,ganson@apextraderse.com
C002224,Catherine,Walters,28-Oct-76,1161,,,ASFA,30700 Russell Ranch Rd.,Lamas,nr109hs,181-397-8636,
C002254,Charles,Cowley,14-Jul-90,425,,,A B I-showatech (india) Ltd.,1 Falcon Way,Kirby Hill,HG4 7FL,440-208-6953,c_cowley0@abi.com
C002255,David,Rushbury,10-Dec-93,3827,,,Ansal Buildwell Ltd.,Oostmolenpad 75,Stratton On The Fosse,ba3 6jf,336-698-1895,
C002259,Anthony,O neill,06-Nov-91,594,,,Ajanta Auto Inds. Pvt. Ltd. [merged],Capital House 2,South Upper Barrack,AB41-9DI,141-592-8070,a_o neill7@ajnttn.com
C002260,Sally,Ansell,23-Jan-93,2204,,,Arora Fibres Ltd.,35th Floor Wisma GKBI,Legsby,ln8 2zi,803-256-0620,
C002263,William,Shaw,27-Sep-94,0,11.125,1,Aarsree Agra Ltd.,56 Shenstone Drive,Inverchaolain,PA23 2BH,016-033-1842,
C002270,Sara,Bingham,27-Nov-88,3231,,,Arjuna Cotton & Spinning Mills Ltd.,Rm. 516 Guanghua Changan Bldg.,Menai Bridge,ll591ty,161-472-3439,sbingham@arjunacotton.com
C002306,Edwin,Allen,26-Jul-54,4828,,,Alfaica (india) Ltd.,Via Adolfo Rav� 106,Higham,CO71KY,120-637-7181,e_allen@alfaicaindia.com
C002370,Yvonne,Miller,13-Oct-85,3997,,,Asian Tractors Ltd.,1265 Union Avenue,Worplesdon,GU39OZ,614-442-3100,
C002372,Gurmit,Sangha,08-Jun-70,797,,,Asianet Satellite Communications Ltd.,18581 Teller Ave.,Llanfair Clydogau,SA48 2WX,562-675-2890,gur.sangha@asianetsatel.com
C002382,Neil,Bullimore,27-Sep-99,0,0,0,Accor,Stoneleigh Deer Park,Llansaint,sa173xt,440-802-8704,nbullimore@acc.com
C002458,Gladys,Fox,27-Sep-94,800,3,1,ACR Group,77 Saint John Street,Medmenham,SL7 5AZ,012-626-7821,gla_fox@akrkrp.com
C002475,Clifford,Buckman,26-Feb-93,2352,,,Asian Tiles Ltd.,122 South Main St.,Hadfield,SK14 7CE,113-779-6645,c_buckman@asn.com
C002486,John,Williams,17-Oct-71,1830,,,Aira Investment & Trdg. Co. Ltd.,PO Box 7948,Wester Ord,AB32 8OA,801-293-2567,j_williams3@airain.com
C002502,Manjit,Gill,10-Jun-89,2595,,,American Power Conversion Corporation,"6, rue de Nieuport",Iwade,ME9 3ND,121-487-9574,mgill@americanpowe.com
C002524,Grahame,Robertson,14-Oct-54,2365,,,Ankuna Synthetics Ltd.,5215 N. O'Connor Blvd.,Scallastle,PA65 6JL,190-939-4640,gra_robertson@ankuna.com
C002545,Anthony,Morris,15-Jan-89,4516,,,AOL Deutschland GmbH,999 W Main St,Weston Favell,NN3 7AT,803-264-2088,a_morris@aoldeu.com
C002566,Joseph,Mcquaker,02-Jul-84,3662,,,Ashtech Infotech Pvt. Ltd.,Carltom Park,Lumphinnans,KY4-8HX,551-131-7166,jos_mcquaker@ashtec.com
C002579,Peter,Barnes,17-Feb-86,238,,,Ajanta Offset & Packagings Ltd.,One Research Circle,Ardindrean,IV23 6UY,165-043-2473,p.barnes5@ajantaoffset.com
C002581,Stella,Brook,22-Mar-68,4098,,,ALLTEL Integrated Financial Solutions,Yew Tree Bottom Road,Stobo,EH457QR,171-454-2716,stellabrook6@alltelintegr.com
C002624,Joginder,Dhinsa,28-Dec-72,90,,,Allied Informatics Inc.,P.O. Box 316,Lingen,SY7 1SE,180-132-6563,
C002646,John,Carter,09-Apr-68,4131,,,ADUNO-Gruppe,rue de la Terrassi�re,Devonport,pl1 5rt,197-330-1102,joh_carter0@adu.com
C002674,Dawn,Green,05-Jun-80,1587,,,"Aqua-Chem, Inc.",67 Brompton Road,Halsinger,EX33 1UC,901-434-9242,
C002677,Barry,Smith,12-Mar-62,633,,,AND1 Basketball,3800 W. Alameda Ave.,Whifflet,ML5 2CA,194-921-9358,
C002679,Abdul,Rahman,25-Mar-73,1851,,,Anadarko Canada Corporation,No.1 Leggett Rd.,Uachdar,HS7 1YK,161-954-6201,a.rahman@antrkkntkrpr.com
